Company,Age,Salary,Place,Gender
TCS,-1.4505500898417576,0.013675125297817737,Chennai,M
Infosys,-0.25058164569042507,0.013675125297817737,Mumbai,M
TCS,0.3494025763852412,-1.244051973278716,Calcutta,M
Infosys,0.9493867984609075,-0.9489098448832841,Delhi,M
TCS,-1.090559556596358,-0.5272782328898098,Mumbai,M
Infosys,-0.13058480127529182,-0.1056466208963355,Calcutta,M
TCS,-0.13058480127529182,0.31598499109713885,Chennai,f
Infosys,-1.090559556596358,0.7376166030906132,Mumbai,f
TCS,0.22940573197010794,1.1592482150840875,Calcutta,f
Cognizant,1.5493710205365738,1.5808798270775617,Delhi,M
Cognizant,-1.090559556596358,0.013675125297817737,Mumbai,M
Cognizant,0.22940573197010794,-1.7546478554028135,Calcutta,M
Cognizant,1.5493710205365738,0.013675125297817737,Chennai,M
Cognizant,-1.690543778672024,-1.6935112716637597,Mumbai,M
Infosys,0.9493867984609075,-0.9489098448832841,Calcutta,M
TCS,-1.090559556596358,-0.9489098448832841,Delhi,M
Infosys,-1.090559556596358,-0.9362608965234799,Pondicherry,M
TCS,0.22940573197010794,-0.1056466208963355,Cochin,M
TCS,-1.210556401011491,0.013675125297817737,Chennai,M
Infosys,-0.010587956860158565,0.013675125297817737,Mumbai,M
TCS,0.5893962652155077,-0.9299364223435778,Calcutta,M
Infosys,2.14935524261224,-0.8713296282764849,Delhi,M
TCS,-1.3305532454266245,-0.17985378460718698,Mumbai,M
Infosys,-0.13058480127529182,0.24641577511821555,Cochin,M
TCS,-0.13058480127529182,0.7730336584980649,Chennai,f
Infosys,-1.090559556596358,1.5568468251939338,Mumbai,f
TCS,0.22940573197010794,1.304711121221836,Calcutta,f
Cognizant,1.5493710205365738,1.7006232048837084,Delhi,f
Cognizant,-1.090559556596358,1.9502291191838452,Mumbai,f
Cognizant,0.3494025763852412,-1.3562059820689802,Cochin,M
Cognizant,1.669367864951707,1.0133636773343453,Chennai,M
Cognizant,-1.4505500898417576,-0.9767375312748534,Mumbai,M
Infosys,1.5493710205365738,-0.5129427580820317,Calcutta,M
TCS,0.46939942080037445,-0.09131114608855737,Mumbai,M
Infosys,-0.7305690233509581,1.2444178007067692,Mumbai,M
TCS,0.3494025763852412,1.5909989857654052,Mumbai,f
TCS,-0.010587956860158565,0.013675125297817737,Noida,M
TCS,0.22940573197010794,-1.244051973278716,Calcutta,M
Infosys,1.0693836428760408,-0.9489098448832841,Mumbai,M
TCS,-0.9705627121812246,-0.3818153267520612,Calcutta,M
Infosys,-0.13058480127529182,-0.1056466208963355,Mumbai,M
TCS,-0.13058480127529182,0.31598499109713885,Mumbai,M
Infosys,-0.8505658677660913,0.7376166030906132,Mumbai,M
TCS,0.3494025763852412,1.1592482150840875,Noida,f
Cognizant,1.669367864951707,1.5808798270775617,Hyderabad,f
Cognizant,-0.9705627121812246,0.013675125297817737,Calcutta,M
Cognizant,-0.010587956860158565,-1.7546478554028135,Mumbai,M
Cognizant,1.3093773317063073,0.013675125297817737,Mumbai,M
Cognizant,-1.570546934256891,-1.6935112716637597,Cochin,M
Infosys,1.0693836428760408,-0.9489098448832841,Chennai,M
Infosys,-1.3305532454266245,-0.9362608965234799,Calcutta,M
TCS,0.3494025763852412,-0.1056466208963355,Delhi,M
TCS,-1.3305532454266245,0.5453525880215888,Mumbai,M
Infosys,-0.010587956860158565,1.0133636773343453,Cochin,M
TCS,0.709393109630641,-0.9299364223435778,Noida,M
Infosys,2.2693520870273733,-0.8713296282764849,Hyderabad,M
TCS,-1.090559556596358,-0.17985378460718698,Calcutta,M
Infosys,-0.13058480127529182,0.24641577511821555,Mumbai,M
TCS,-0.13058480127529182,0.7730336584980649,Calcutta,M
TCS,0.46939942080037445,1.304711121221836,Mumbai,f
Cognizant,1.0693836428760408,1.7006232048837084,Mumbai,f
Cognizant,-0.13058480127529182,-1.3562059820689802,Hyderabad,M
Cognizant,1.0693836428760408,0.013675125297817737,Calcutta,M
Cognizant,-1.3305532454266245,-0.9767375312748534,Mumbai,M
Infosys,1.3093773317063073,-0.5129427580820317,Mumbai,M
TCS,-0.010587956860158565,-0.09131114608855737,Cochin,M
Infosys,-1.3305532454266245,1.2444178007067692,Chennai,M
TCS,0.22940573197010794,1.5909989857654052,Mumbai,f
TCS,-0.9705627121812246,0.013675125297817737,Calcutta,M
Infosys,0.22940573197010794,0.013675125297817737,Delhi,M
TCS,0.5893962652155077,-1.244051973278716,Mumbai,M
Infosys,1.4293741761214405,-0.9489098448832841,Cochin,M
TCS,-0.010587956860158565,-0.5272782328898098,Noida,M
Infosys,-0.13058480127529182,-0.1056466208963355,Hyderabad,M
TCS,-0.13058480127529182,0.31598499109713885,Calcutta,M
Infosys,-0.7305690233509581,0.7376166030906132,Bhopal,M
TCS,-0.010587956860158565,1.1592482150840875,Nagpur,M
Cognizant,1.3093773317063073,1.5808798270775617,Pune,f
Cognizant,-1.210556401011491,0.013675125297817737,Pune,M
Cognizant,0.10940888755497469,-1.7546478554028135,Chennai,M
